school,location.elevation,location.city,location.state
Hahnemann Medical,,,
Hamilton A.C.,,,
Hampton A.C.,,,
Hampton Road,,,
Harrisburg A.C.,,,
Harry Hillman Academy,,,
Hartford,,,
Harvard Alumni,,,
Harvard B,,,
Harvard Freshmen,,,
Harvard Law,,,
Haskell,,,
Hastings,,,
Hastings State,,,
Havana A.C.,,,
Havana University,,,
Haverford,,,
Hawai'i',,,
Hawaii All-Stars,,,
Hayward State,,,
Hebron Academy,,,
Hedding,,,
Herington Field,,,
Highland Park,,,
High Point,,,
Hiwassee,,,
Hoboken Navy,,,
Hofstra,,,
Homestead A.C.,,,
Hondo Field,,,
Hopkinson,,,
Horner,,,
Houston YMCA,,,
Hyde Park,,,
Hyde Park High,,,
Idaho Marines,,,
Illinois Alumni,,,
Illinois Cycling Club,,,
Illinois Medical,,,
Independence A.C.,,,
Indiana Alumni,,,
Indiana Medical,,,
Indiana (Pennsylvania),,,
Indianapolis Artillery,,,
Intermountain,,,
Iowa Pre-Flight,,,
Jackson Br.-New Orleans,,,
Jackson Field,,,
Jacksonville Naval Air Station,,,
James Millikin,,,
Jefferson,,,
Jefferson Medical,,,
Jersey Shore,,,
Johnson Smith,,,
Kamehameha Alumni,,,
Kansas City A.C.,,,
Kansas City Medical,,,
Kansas City Veterinary,,,
Kansas Wesleyan,,,
Kean,,,
Kearney,,,
Kearney Field,,,
Keesler Field,,,
Kelly Field,,,
Kents Hill,,,
Kentucky Christian,,,
King,,,
Kingfisher,,,
King George,,,
Kirtland Field,,,
Kiski Preparatory,,,
Knox College,,,
Knoxville,,,
Lackland Field,,,
Lake Forest Academy,,,
Lake Forest Alumni,,,
Lakehurst NAS,,,
Lakeland University,,,
Lake View High,,,
Lancaster Crescents,,,
Lane,,,
Lanier,,,
Laramie High,,,
La Salle,,,
Latrobe A.C.,,,
Laureate Boat Club,,,
Lawrenceville,,,
Lawton,,,
League Island Navy,,,
Leander Clarke,,,
Lehigh A.C.,,,
Leilahau,,,
Lewis,,,
Lewisburg A.C.,,,
Lieutenants,,,
Lincoln,,,
Lincoln Field,,,
Lincoln High,,,
Lincoln Medical,,,
LIU-C.W. Post,,,
Locust Grove,,,
Logan All-Stars,,,
Lombard,,,
Long Beach State,,,
Longmont High,,,
Loras,,,
Loras College,,,
Los Angeles A.C.,,,
Los Angeles Junior College,,,
Louisiana Army STU,,,
Louisiana State Freshmen,,,
Louisville Field,,,
Love Field,,,
Lowry Field,,,
Loyola Academy,,,
Loyola (Baltimore),,,
Loyola (Chicago),,,
Loyola (LA),,,
Loyola Marymount,,,
Lubbock Field,,,
Lynchburg,,,
MacAurthur Field,,,
Machinists Mates,,,
Madison High,,,
Manhattan,,,
Manhattan A.C.,,,
Manhattan Beach Coast Guard,,,
Mankato State,,,
Manual Training High,,,
March Field,,,
Mare Island Marines,,,
Mare Island Navy,,,
Marine Officers,,,
Marion,,,
Marion County High,,,
Marion Sims,,,
Marquette,,,
Marshall School,,,
Marshalltown,,,
Maryland A.C.,,,
Maryland-Baltimore,,,
Maryland-Eastern Shore,,,
Massilon A.C.,,,
Mather Field,,,
Maxwell Field,,,
Mayport NAS,,,
McClellan Field,,,
McDaniel,,,
McGill,,,
McKendree,,,
Medford A.C.,,,
Medico-Chirurgical,,,
Melville PT Boats,,,
Memphis High,,,
Memphis Navy,,,
Mercersburg Academy,,,
Meridian,,,
Meteor A.C.,,,
Michigan A.C.,,,
Michigan Military Academy,,,
Midwestern Texas State,,,
Milligan,,,
Milwaukee Medical,,,
Minneapolis Boat Club,,,
Minneapolis Central High,,,
Minneapolis Eastern High,,,
Minneapolis South High,,,
Minnesota Alumni,,,
Missouri-Kansas City,,,
Missouri-Rolla,,,
Missouri Southern,,,
Missouri Valley,,,
Missouri Wesleyan,,,
MIT,,,
Moffett Field,,,
Mohawk,,,
Moline A.C.,,,
Monroe A.C.,,,
Montana Tech,,,
Montana Wesleyan,,,
Montclair A.C.,,,
Montezuma,,,
Montgomery A.C.,,,
Monticello Navy,,,
Montreal,,,
Mooney,,,
Moorhead State,,,
Morgan,,,
Morganton Mutes,,,
Morris Brown,,,
Morris Field,,,
Morris Harvey,,,
Mount Airy Deaf School,,,
Mount Carmel All-Stars,,,
Mount Hermon,,,
Mount Pleasant,,,
Mount St. Mary's,,,
Multnomah A.C.,,,
Nashville,,,
Navy Hospital Corps,,,
Navy Reserves,,,
Navy Transport,,,
Nebraska Alumni,,,
Nebraska Wesleyan,,,
Nebraska Wesleyan University,,,
Needham,,,
Newark A.C.,,,
Newberry A.C.,,,
Newburyport A.C.,,,
New England All-Stars,,,
New Jersey A.C.,,,
New London Submarine Base,,,
New Mexico Military,,,
New Mexico Tech,,,
New Orleans Gym Club,,,
Newport Navy,,,
Newport News,,,
Newport NTS,,,
Newton A.C.,,,
Newton High,,,
Newtowne A.C.,,,
New York A.C.,,,
New York Law,,,
New York Naval Militia,,,
New York State,,,
New York University,,,
Niagara,,,
Norfolk A.C.,,,
Norfolk Blues,,,
Norfolk Fire Department,,,
Norfolk Marines,,,
Norfolk Navy,,,
Norfolk Navy Base,,,
Norfolk Navy Yard,,,
Norman Naval Air Station,,,
Norman Park,,,
North Alabama A.C.,,,
North Carolina Medical,,,
North Carolina Pre-Flight,,,
North Dakota Teachers,,,
North Denver High,,,
North Division High,,,
Northeastern,,,
Northeastern Oklahoma State,,,
North Georgia,,,
Northwest Division High,,,
Northwestern Academy,,,
Northwestern Alumni,,,
Northwestern Dental,,,
Northwestern (IA),,,
Northwestern (Wisconsin),,,
Notre Dame B,,,
Oak Ridge,,,
Oceana NAS,,,
Ogden A.C.,,,
Ogden High,,,
Oglethorpe,,,
Ohio Am. Corp.,,,
Ohio Medical,,,
Oklahoma City,,,
Oklahoma Mines,,,
Oklahoma Teachers,,,
Olathe Navy,,,
Olivet,,,
Olympic A.C.,,,
Olympic Club,,,
Omaha Balloon,,,
Omaha Light Guards,,,
Onondaga,,,
Orange A.C.,,,
Oregon College,,,
Oregon State Alumni,,,
Oregon Tech,,,
Originals A.C.,,,
Ottawa,,,
Ottumwa Pre-Flight,,,
Ouachita,,,
Overland Station,,,
Ozarks,,,
Pacific,,,
Pacific All-Stars,,,
Pacific Fleet,,,
Pacific (Oregon),,,
Pacific Submarines,,,
Palmyra,,,
Panhandle State,,,
Panora,,,
Park Field,,,
Parris Island Marines,,,
Parsons,,,
Parsons (Iowa),,,
Pastime A.C.,,,
Payne Field,,,
Pearl Harbor,,,
Pelham Bay Navy,,,
Penn Radio School,,,
Pennsylvania Alumni,,,
Pennsylvania College,,,
Pennsylvania Military,,,
Pennsylvania Railroad YMCA,,,
Pennsylvania Reserves,,,
Pensacola A.C.,,,
Pensacola NAS,,,
Peoria Socials A.C.,,,
Pepperdine,,,
Peru State,,,
Phialdelphia YMCA,,,
Philadelphia A.C.,,,
Philadelphia All-Stars,,,
Philadelphia Naval Yard,,,
Phillips,,,
Phoenix A.C.,,,
Phoenix All-Stars,,,
Phoenix Indians,,,
Physicians & Surgeons,,,
Piedmont,,,
Pittsburgh A.C.,,,
Pittsburgh Lyceum,,,
Pittsfield A.C.,,,
Pleasanton Navy,,,
Pomona Ordinance Base,,,
Pontiac A.C.,,,
Porter Military,,,
Portland,,,
Portland A.C.,,,
Port Royal,,,
Portsmouth Fleet,,,
Post Field,,,
Prairie A.C.,,,
Presidio of San Francisco,,,
Princeton A.C.,,,
Princeton Alumni,,,
Princeton Seminary,,,
Providence,,,
Pueblo High,,,
Pueblo YMCA,,,
Purdue Alumni,,,
Quantico Marines,,,
Queen's,,,
Quincy A.C.,,,
Randolph Field,,,
Ream Field,,,
Regis (CO),,,
Reina Mercedes,,,
Reliance A.C.,,,
Richmond Blues,,,
Richmond Field,,,
Ridgefield A.C.,,,
Riverside,,,
Roanoke,,,
Rockford High,,,
Rockford YMCA,,,
Rockhurst,,,
Rock Island A.C.,,,
Rollins,,,
Rooks,,,
Rush Medical,,,
Rusk,,,
Sacaton Indians,,,
Sacred Heart (Wisconsin),,,
Saint Louis,,,
Saint Mary's,,,
Saint Mary's (CA),,,
Saint Mary's (CA) Pre-Flight,,,
Salem,,,
Salem International,,,
Salt Lake Field,,,
Salt Lake High,,,
Salt Lake YMCA,,,
Sampson NTS,,,
San Diego Bombers (PCFL),,,
San Diego Marines,,,
San Diego Navy,,,
San Francisco,,,
San Francisco Clippers (AFL),,,
San Francisco State,,,
San Pedro A.C.,,,
San Pedro Navy,,,
Santa Ana Field,,,
Santa Clara,,,
Savannah A.C.,,,
S.B. Howard Park,,,
Schuylkill,,,
Schuylkill Navy,,,
Scott Field,,,
Scout Fleet,,,
Scranton,,,
Seamen Gunners,,,
Second Air Force,,,
Second Air Force (Colorado),,,
Second Air Force (Washington),,,
Seton Hall,,,
Sewanee Club (Virginia),,,
Sewanee Medical,,,
Shamokin,,,
Shattuck,,,
Sherman,,,
Shorter,,,
Shreveport A.C.,,,
Shurtleff,,,
Sioux City A.C.,,,
Sioux Falls,,,
SMTS,,,
Sonoma State,,,
South Bend A.C.,,,
South Berwick,,,
South Denver High,,,
Southeastern Oklahoma State,,,
Southern California Alumni,,,
Southern College,,,
Southern Methodist Freshmen,,,
Southern Military Academy,,,
South Plains Field,,,
South Side Academy,,,
Southwestern (Kansas),,,
Southwestern Oklahoma State,,,
Southwestern University,,,
Southwest State,,,
Spence Field,,,
Spring Hill,,,
Squantum NAS,,,
Staats A.C.,,,
St. Albans,,,
Standifer Shipbuilders,,,
St. Benedict,,,
St. Bonaventure,,,
St. Edward's,,,
Steelton YMCA,,,
Sterling A.C.,,,
Stevens,,,
Stevens Alumni,,,
St. Francis (Pennsylvania),,,
St. Helena NTS,,,
Still,,,
Stillman,,,
St. John's M.A.,,,
St. John's (Maryland),,,
St. John's (MN),,,
St. Joseph's (Indiana),,,
St. Joseph's (Pennsylvania),,,
St. Lawrence,,,
St. Louis Alumni-Hawaii,,,
St. Mary's (Kansas),,,
St. Mary's (Minnesota),,,
St. Mary's (Texas),,,
St. Olaf,,,
St. Paul,,,
St. Paul Central High,,,
St. Paul's (New Hampshire),,,
Stroudsburg,,,
St. Steven's,,,
St. Thomas,,,
St. Viator,,,
St. Vincent's (California),,,
St. Vincent's (Pennsylvania),,,
Superba A.C.,,,
Swarthmore,,,
Swarthmore Alumni,,,
Syracuse A.C.,,,
Syracuse Alumni,,,
Talladega,,,
Tampa,,,
Tampa A.C.,,,
Tarkio,,,
Taylor,,,
Temperance A.C.,,,
Tennessee Deaf School,,,
Tennessee Medical College,,,
Tennessee-Memphis,,,
Tennessee Military,,,
Tennessee Wesleyan,,,
Texas A&M-Corpus Christi,,,
Texas-Arlington,,,
Texas Deaf School,,,
Texas Military,,,
Texas Wesleyan,,,
Thiel,,,
Thiel College,,,
Third Air Force,,,
Tioga,,,
Toledo A.C.,,,
Tonkawa Preparatory,,,
Toronto All-Stars,,,
Transylvania,,,
Trinity International (IL),,,
Trinity (Texas),,,
Troy Laureates,,,
Tulane Alumni,,,
Twin Cities Central High,,,
Twin Cities High,,,
UAY All-Stars,,,
UC Riverside,,,
Union College,,,
Union (NY),,,
Union (Tennessee),,,
University Club of Chicago,,,
University of Mary,,,
University of Mexico,,,
Upsala,,,
U.S. Amphibians,,,
U.S. International,,,
U.S. Marines,,,
US Recup. Company,,,
USS Boston,,,
USS Franklin,,,
USS Idaho,,,
USS Maryland,,,
USS Mercy,,,
USS Minnesota,,,
USS Mississippi,,,
USS New Mexico,,,
USS New York,,,
USS Oklahoma,,,
USS Tennessee,,,
USS Utah,,,
USS Washington,,,
Utah Alumni,,,
Utah Field Artillery,,,
Utah State Alumni,,,
Vancouver Barracks,,,
Vanderbilt Alumni,,,
Vedado A.C.,,,
Vermont,,,
Vermont Methodist Seminary,,,
Vicksburg A.C.,,,
Vigilant A.C.,,,
Vincennes,,,
Vineland,,,
Virginia Boat Club,,,
Virginia Medical,,,
Virginia Tech Alumni,,,
Virginia Union,,,
Volunteer A.C.,,,
Waco Field,,,
Wake Forest Freshmen,,,
Walton,,,
Warrenton Preparatory,,,
Washington Artillery,,,
Washington (Maryland),,,
Washington Redskins (NFL),,,
Washington YMCA,,,
Waterton,,,
Watertown,,,
Waukegan High,,,
Wayne State,,,
Welch Neck High,,,
Wendell Phillips High,,,
Wesley,,,
Wesleyan (CT),,,
West Coast Army,,,
West Coast Navy,,,
West Denver High,,,
West Division High,,,
West End Amateurs,,,
Western (Iowa),,,
Western Ontario,,,
Western Reserve,,,
West Logan High,,,
Westminster (Missouri),,,
Westminster (Pennsylvania),,,
West Seattle A.C.,,,
West Texas Military,,,
West Virginia State,,,
Wetumpka,,,
Wheaton High,,,
White Sands,,,
White Squadron,,,
Whitman,,,
Wichita State,,,
William Jewell,,,
Williams Alumni,,,
Williams Field,,,
Williamsport,,,
Williston,,,
Wilmington,,,
Winchester,,,
Wisconsin Alumni,,,
Wisconsin Freshmen,,,
Wisconsin-Milwaukee,,,
Wisconsin-Oshkosh,,,
Wisconsin-Whitewater,,,
Wisc. Stout,,,
Wissahickon Barracks,,,
Worcester A.C.,,,
Worcester Academy,,,
Wyoming Alumni,,,
Wyoming Faculty,,,
Wyoming Seminary,,,
Xavier,,,
Yale Alumni,,,
Yale Consolidated,,,
Yale Freshmen,,,
Yale/Princeton/Harvard Grads,,,
YMI,,,
York YMCA,,,
Yuma Field,,,
